"","Abu Bakr al-Siddiq Fundamentalist Brigades","Abu Hafs al-Masri Brigade","Abu Sayyaf Group (ASG)","Accolta Nazinuale Corsa","Action Committee of Winegrowers","Action Directe","Aden Abyan Islamic Army (AAIA)","al-Aarifeen","al-Aqsa Martyrs Brigades","al-Badr","al-Faruq Brigades","al-Fatah","al-Gama'a al-Islamiyya (GAI)","al-Haramayn Brigades","al-Intiqami al-Pakistani","al-Madina","al-Mansoorain","al-Nawaz","al-Qaeda","al-Qaeda in the Arabian Penninsula (AQAP)","al-Quds Brigades","al-Umar Mujahideen","Albanian National Army (ANA)","Alex Boncayao Brigade (ABB)","All Tripura Tiger Force (ATTF)","Amal","Anarchist Faction","Anarchist Liberation Brigade","Anarchist Street Patrol","Anarchist Struggle","Anarchists' Attack Group","Andres Castro United Front (FUAC)","Angry Brigade","Animal Liberation Front (ALF)","Ansar al-Islam","Ansar al-Jihad","Ansar al-Sunnah Army","Ansar Allah","Anti-Authority Erotic Cells","Anti-Mainstream Self Determination Faction","Anti-Power Struggle","Anti-Racist Guerrilla Nuclei","Anti-State Action","Anti-State Nuclei","Anti-Zionist Movement","Anticapitalist Attack Nuclei (NAA)","Apo's Revenge Hawks","Apo's Youth Revenge Brigades","April 19 Movement","Armata Corsa","Armata di Liberazione Naziunale","Armed Forces Revolutionary Council (AFRC)","Armed Islamic Group","Armed Revolutionary Left","Army of God","Army of the Corsican People","Army of the Followers of Sunni Islam","Autonomous Cells of Rebel Action","Autonomous Decorators","Bagramyan Battalion","Baloch Liberation Army (BLA)","Basque Fatherland and Freedom (ETA)","Bersatu","Black Star","Black Widows","Borok National Council of Tripura (BNCT)","Breton Revolutionary Army (ARB)","Burning Path","Cambodian Freedom Fighters (CFF)","Carapaica Revolutionary Movement","Catholic Reaction Force (CRF)","Chaotic Attack Front","Children of Fire","Chukakuha","Clandestini Corsi","Coalition to Save the Preserves (CSP)","Combatant Proletarian Nucleus","Committee for the Security of the Highways","Communist Party of Nepal-Maoists (CPN-M)","Communist Revolutionaries in Europe","Communist Workers Movement","Communists Liberation Faction","Conscientious Arsonists (CA)","Continuity Irish Republican Army (CIRA)","Cooperative of Hand-Made Fire & Related Items","Dagestan Liberation Army","Dario Santillan Command","Democratic Front for the Liberation of Palestine (DFLP)","Democratic Karen Buddhist Army (DKBA)","DHKP-C","Divine Wrath Brigades","Earth Liberation Front (ELF)","East Turkistan Liberation Organization","Ecuadorian Rebel Force","Egyptian Islamic Jihad (EIJ)","Enraged Proletarians","Fighters for Freedom","Fighting Ecologist Activism","Fighting Guerillas of May","Fires of Hell","First of October Antifascist Resistance Group (GRAPO)","Five C's","For a Revolutionary Perspective","Francs Tireurs (Mavericks)","Free Aceh Movement (GAM)","Free Vietnam Revolutionary Group","Freedom for Mumia Abu-Jamal","Friendship Society","Front for Defenders of Islam (FPI)","Front for the Liberation of the Cabinda Enclave","Fronte di Liberazione Naziunale di a Corsica (FLNC)","Gazteriak","Global Intifada","Group of Carlo Giuliani","Group of Popular Combatants (GPC)","Guevarista Revolutionary Army (ERG)","Hamas","Harakat al-Shuhada'a al-Islamiyah","Harakat ul-Mudjahidin (HuM)","Hawks of Thrace","Hezbollah","Hikmatul Zihad","Hindu Sena Rashtriya Sangh Party","Hisba","Hizb-I-Islami","Hizbul Mujahideen (HM)","Indigenous People's Federal Army (IPFA)","Informal Anarchist Federation","International Solidarity","Iparretarrak (IK)","Irish National Liberation Army (INLA)","Irish Republican Army (IRA)","Islamic Army in Iraq","Islamic Great Eastern Raiders Front","Islamic Jihad Brigades","Islamic Movement of Uzbekistan (IMU)","Islamic Resistance Brigades","Islamic Shashantantra Andolon (ISA)","Jaime Bateman Cayon Group (JBC)","Jaish-e-Mohammad (JeM)","Jaish-ul-Muslimin","Jamiat ul-Mujahedin (JuM)","Janashakti","Jemaah Islamiya (JI)","Jenin Martyrs' Brigade","July 20th Brigade","Justice Army of the Defenseless People","Kach","Kakurokyo","Kayin National Union (KNU)","Kenkoku Giyugun Chosen Seibatsutai","Knights of the Torched Bank","Kosovo Liberation Army (KLA)","Kurdistan Freedom Hawks","Kurdistan Workers' Party (PKK)","Lashkar-e-Jhangvi (LeJ)","Lashkar-e-Taiba (LeT)","Lashkar-I-Omar","Latin American Patriotic Army (EPLA)","Leftist Nucleus","Liberation Tigers of Tamil Eelam (LTTE)","Lord's Resistance Army (LRA)","Loyalist Volunteer Force (LVF)","Macedonian Revolutionary Organization (VMRO)","Macheteros","Mahdi Army","Maoist Communist Center (MCC)","Mariano Moreno National Liberation Commando","Martyr Abu-Ali Mustafa Brigades","15-May","May-98","Melting Nuclei","Midnight Saboteurs","Moro Islamic Liberation Front (MILF)","Moro National Liberation Front (MNLF)","Movement Against State Arbitrariness","Movement for Democracy and Justice in Chad (MDJT)","Movement of the Revolutionary Left","Movsar Baryayev Gang","Mujahedin-e-Khalq (MeK)","Mujahideen al-Mansooran","Mujahideen Message","Muslims Against Global Oppression (MAGO)","Muttahida Qami Movement (MQM)","National Army for the Liberation of Uganda (NALU)","National Democratic Front of Bodoland (NDFB)","National Liberation Army (Colombia)","National Liberation Front of Tripura (NLFT)","National Warriors","Nationalist Kurdish Revenge Teams","New People's Army (NPA)","New Revolutionary Alternative","New Revolutionary Popular Struggle (NELA)","Night Avengers","November's Children","Nuclei for Promoting Total Catastrophe","Anti-Communist Command (KAK)","21-Jun","Orange Volunteers (OV)","Oromo Liberation Front (OLF)","Overthrown Anarchist Faction","Popular Justice","Purbo Banglar Communist Party (PBCP)","Padanian Armed Separatist Phalanx (FASP)","Palestinian Islamic Jihad (PIJ)","Pattani United Liberation Organization (PULO)","People Against Gangsterism And Drugs (PAGAD)","People's Liberation Army of Kurdistan (ARGK)","People's Liberation Forces (El Salvador)","People's Revolutionary Army (Colombia)","People's Revolutionary Militias","People's War Group (PWG)","Popular Front for the Liberation of Palestine (PFLP)","Popular Liberation Army","Popular Resistance","Popular Resistance Committees","Popular Revolutionary Action","Popular Revolutionary Front (LEM)","Popular Self-Defense Forces (FAP)","Proletarian Combatant Groups","Proletarian Nuclei for Communism","Proletarian Reprisals","Proletarian Resistance","Proletarian Solidarity","Real Irish Republican Army (RIRA)","Red Brigades","Red Guerrillas","Red Hand Defenders (RHD)","Red Line","Resistenza Corsa","Revenge of Hebrew Babies","Revolutionary Armed Corps (CAR)","Revolutionary Armed Forces of Colombia (FARC)","Revolutionary Armed Forces of the People (FARP)","Revolutionary Army","Revolutionary Brigades","Revolutionary Cells Animal Liberation Brigade","Revolutionary Front for Communism","Revolutionary Leninist Brigades","Revolutionary Liberation Action","Revolutionary Memory","Revolutionary Nuclei","Revolutionary Offensive Cells","Revolutionary Organization 17 November (RO-N17)","Revolutionary Perspective","Revolutionary Proletarian Initiative Nuclei","Revolutionary Proletarian Nucleus","Revolutionary Socialists","Revolutionary Struggle","Revolutionary Subversive Faction-Commando Unibomber","Revolutionary Torch-Bearing Run","Revolutionary United Front (RUF)","Revolutionary Violence Group (RVG)","Rigas Fereos","Riyad us-Saliheyn Martyrs' Brigade","Russian National Unity","Saif-ul-Muslimeen","Salafist Group for Call and Combat (GSPC)","Salah al-Din Battalions","Saraya al-Shuhuada al-jihadiyah fi al-Iraq","Sardinian Autonomy Movement (MAS)","Save Kashmir Movement","Self-Defense Groups of Cordoba and Uraba (ACCU)","Shining Path","Shurafa al-Urdun","Sihala Urumaya","Solidarity for Political Prisoners","Solidarity Gas Canisters","Solidarity with 17N","South Londonderry Volunteers (SLV)","South Maluku Republic (RMS)","Sri Nakharo","Students Islamic Movement of India (SIMI)","Sudan People's Liberation Army","Supporters of Horst Ludwig Meyer","Sword of Islam","Takfir wa Hijra","Taliban","Tanzim","Tawhid and Jihad","Territorial Anti-Imperialist Nuclei","The Holders of the Black Banners","The Inevitables","The National Anti-Corruption Front","Tigers","TKEP/L","TKP/ML-TIKKO","Torrid Winter","Totally Anti-War Group (ATAG)","Tupac Amaru Revolutionary Movement","Tupamaro Revolutionary Movement - January 23","Turkish People's Liberation Front (TPLF)","Ulster Defence Association/Ulster Freedom Fighters","Ulster Volunteer Force (UVF)","Ummah Liberation Army (ULA)","Uncontrolled Rage","UNITA","United Kuki Liberation Front (UKLF)","United Liberation Front of Assam (ULFA)","United People's Democratic Solidarity (UPDS)","United Revolutionary Front","United Self-Defense Forces of Colombia (AUC)","United Self-Defense Forces of Venezuela (AUV)","United Tajik Opposition (UTO)","Usd Allah","Uygur Holy War Organization","Vigorous Burmese Student Warriors","Vitalunismo","White Legion","Zomi Revolutionary Army (ZRA)","Achik National Volunteer Council (ANVC)","313","Communist Party of India-Maoist (CPI-M)","Group of Guerilla Combatants of Jose Maria Morelos y Pavon (CGNJMMP)","Popular Revolutionary Army (Mexico)","National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)","Brigades of the Victorious Lion of God","Abu al-Abbas","Akhil Krantikari","Birsa Commando Force (BCF)","Free Papua Movement (OPM)","Islami Chhatra Shibir (ICS)","Laskar Jihad","Muslim United Army","Rebolusyonaryong Hukbong Bayan (RHB)","Abdurajak Janjalani Brigade (AJB)","Abu Nayaf al-Afgani","Action Group Extreme Beate","Adivasi Cobra Force (ACF)","Bodo Liberation Tigers (BLT)","Babbar Khalsa International (BKI)","Al-Bara bin Malek Brigades","al-Qaeda Organization in the Land of the Two Rivers","Jaish al-Taifa al-Mansoura","Brigades of Imam al-Hassan al-Basri","Anarchist Attack Teams","Anarchist Faction for Subversion","Anarkhiki Omadha 20 Louli","Anti-Olympic Flame","Anti-State Defense","Asbat al-Ansar","Badr Forces","Battalion of the Martyr Abdullah Azzam","Black and Red Brigades","Bolivarian Liberation Forces (FBL)","EPA (Ejercito del Pueblo en Armas)","Brigades of Martyr Ahmed Yassin","Caucasian Front for the Liberation of Abu Achikob","Comando Jaramillista Morelense 23 de Mayo","Commando Anarchist Group","Consciously Enraged","Eritrean Islamic Jihad Movement (EIJM)","Free People of Galillee","God's Army","Group for Social Resistance to the State Mechanism","Group Revolutionary Reconstruction","Iduwini Youths","Immediate Action","Indomitable Marxists","Iraqi Revenge Brigades","Islamic Defense Force","Karbala Brigades","Knights of the Tempest","Kuki Liberation Army (KLA)","Mujahideen KOMPAK","Protectors of Islam Brigade","Pueblo Regrupado","Russian National Bolshevist Party","The Committee for Promotion of Intransigence","Underground Government of the Free Democratic People of Laos","Young Liberators of Pattani","Arbav Martyrs of Khuzestan","Cypriot Nationalist Organization (OKE)","Mujahideen Shura Council","Jund al-Sham","Jihad Committee","Jamatul Mujahedin Bangladesh","al-Ahwal Brigades","1920 Revolution Brigades","Abu al-Rish Brigades","Ali Bin Abu Talib Jihad Organization","Black Panthers (West Bank/Gaza)","Corsican Revolutionary Armed Forces (FARC)","Ethnocacerista","Islamic Glory Brigades in the Land of the Nile","Jagrata Muslim Janata Bangladesh","Jund Allah Organization for the Sunni Mujahideen in Iran","Kanglei Yawol Kanna Lup (KYKL)","Kangleipak Communist Party","Maras Salvatruchas","Odua Peoples' Congress","Salafia Jihadia","Strugglers for the Unity and Freedom of Greater Syria","Tawhid Islamic Brigades","United National Liberation Front (UNLF)"
"Abu Bakr al-Siddiq Fundamentalist Brigades",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abu Hafs al-Masri Brigade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abu Sayyaf Group (ASG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accolta Nazinuale Corsa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action Committee of Winegrowers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action Directe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aden Abyan Islamic Army (AAIA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"al-Aarifeen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"al-Aqsa Martyrs Brigades",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"al-Badr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
