"ID","Title"
"May 2011 Kidnapping of British and Italian Engineers (Kidnapping)","May 2011 Kidnapping of British and Italian Engineers (Kidnapping)"
"16 June 2011 SVBIED Abuja (IED)","16 June 2011 SVBIED Abuja (IED)"
"26 August 2011 Bombing of UN Headquarters in Abuja (Bombing)","26 August 2011 Bombing of UN Headquarters in Abuja (Bombing)"
"2011 Chrismas Day Church Bombing Near Abuja (Bombing)","2011 Chrismas Day Church Bombing Near Abuja (Bombing)"
"2012 Meeting or Sighting in Gao, Mali (Meeting)","2012 Meeting or Sighting in Gao, Mali (Meeting)"
"January or February 2012 Shekau Flees to Gao (Travel)","January or February 2012 Shekau Flees to Gao (Travel)"
"2006 Op To Kill 10 Maruitanian Soldiers in Lemgheity, Mauritania  (Attack)","2006 Op To Kill 10 Maruitanian Soldiers in Lemgheity, Mauritania  (Attack)"
"2006 Op To Kill 10 Maruitanian Soldiers in Lemgheity, Mauritania (Attack)","2006 Op To Kill 10 Maruitanian Soldiers in Lemgheity, Mauritania (Attack)"
"2003 Meeting with AQ Reps in Pakistan (Meeting)","2003 Meeting with AQ Reps in Pakistan (Meeting)"
"2004 Meeting with AQ Reps in Pakistan (Meeting)","2004 Meeting with AQ Reps in Pakistan (Meeting)"
"August 2012 Negotiations in Mecca with Saudis (Meeting)","August 2012 Negotiations in Mecca with Saudis (Meeting)"
"August 2011 Mumman Nur Travels to Somalia (Travel)","August 2011 Mumman Nur Travels to Somalia (Travel)"
"June 2011 Attack on Federal Police Headquarters (Attack)","June 2011 Attack on Federal Police Headquarters (Attack)"
"September 2011 Meeting in Maidguri (Meeting)","September 2011 Meeting in Maidguri (Meeting)"
"August 2009 Video Claiming Leadership (Communication)","August 2009 Video Claiming Leadership (Communication)"
"2009 Failed Undergarmet Bombing on Detroit-bound Flight (Event)","2009 Failed Undergarmet Bombing on Detroit-bound Flight (Event)"
