,Abba Anas Ibn Umar Garbai,Shehu of Borno,Abba Goroma,Abba Kaka,Abdelmalek el-Droukdel,Imam Abubakar bin Mohammed,Abdullah Abdullah,Abdulmalik Bama,Abu Dardam,Abu Mohammed Ibn Abdulaziz,Abu Muhammed,Habibu Bama,Khalid Albarnawai,Kabiru Sokoto,Mohammed Yusuf,Mumman Nur,Mohammed Zangina,Abu Saad,Abu Suleiman,Ali Modu Sheriff,Abu Usamatu Al-Ansari,Abu Zaid,Abu Zaid (2),Abu Zeid,Abubakar Kilakam,Abubakar Lawan,Abubakar Suleiman-Habu,Abubakar Zakariya,Adam Kambar,Osama Bin Laden,Adulsalam Adamu,Ahmadu Yusuf Diya,Alghabass Ag Intallah,Alhaji Awana Ngala,Alhaji Modu Fannami Gubio,Alhaji Musa Modu,Alhaji Mustapha Ibrahim,Alhaji Salifu,Alhaji Salisu Wudic,Ali Jalingo,Aminu Hussein,Aminu Tashen-Ilimi,Aminu Tashen-Ilimi (2),Anwal Kontagora,Ayman Al Zawahiri,Baba Mohammed,Babagana Ismail Kwaljima,Bahir Ghanim,Bahiru Mohammed,Bashir Aketa,Bello Yusuf,Bilyaminu Bashir Baba Gana,Danzumi Haruna,Francis Collomp,General Muhammadu Buhari,Habibu Yusuf,Hassan Jazair,Ibrahim Bashir,Musa Tanko,Sheikh Mukhtar Robow Ali,Mokthar Belmokhtar,Muhammed Marwana,Momodu Bama,Iyad Ag Ghaly,Malam Ali,Mallam Adnan Ibrahim,Muhammed Ashafa,Mallam Bashir,Nigerian4,Mallam Zaid,Mallam Zubairu Mohamed,Massa Ibrahim,Mishanu Mohammed,Mohammed Goni,Sanni Umaru,Mohammed Zakaria,Mokhtar Ibrahim,Oumar Ould Hamaha,Unnamed Commander,Muhammed Shuwa,Mullah Omar,Mummodo Abu Fatima,Musa Mukalla,Nigerian1,Nigerian2,Nigerian3,Nigerian5,Olusegun Obasanjo,Omar Abdul Mutallab,Qays Ubayd,Raboji Garba,Salisu Al Jasawy,Salisu Mohammed,Sambo Dasuki,Shaykh Ibrahim Mbombo Mubarak,Shehu Ladan,Shehu Sani,Suleiman Ahmed,Sulieman Mohammed,Tukur Ahmed Mohammed,Umar Farouk Abdulmutallab,Umar Fulata,Umar Mohammed Jundugu,Yusuf Abdullahi,Zakariyya Zubeidi
Abba Anas Ibn Umar Garbai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shehu of Borno,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abba Goroma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abba Kaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdelmalek el-Droukdel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imam Abubakar bin Mohammed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdullah Abdullah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdulmalik Bama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abu Dardam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abu Mohammed Ibn Abdulaziz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
